Algorithm,DataType,Size,TimeMicroseconds,Comparisons
TernaryQuickSort,AlmostSorted,2800,7355.9,107550
StringMergeSort,AlmostSorted,2800,33118.7,10585
MSDRadixSort,AlmostSorted,2800,5062.1,0
MSDRadixSortWithCutoff,AlmostSorted,2800,2375.2,18781
StandardQuickSort,AlmostSorted,2900,2352.1,55693
StandardMergeSort,AlmostSorted,2900,3348.2,32669
TernaryQuickSort,AlmostSorted,2900,7832.2,114023
StringMergeSort,AlmostSorted,2900,33802.5,10937
MSDRadixSort,AlmostSorted,2900,5082.8,0
MSDRadixSortWithCutoff,AlmostSorted,2900,2422.5,19371
StandardQuickSort,AlmostSorted,3000,2404.1,56571
StandardMergeSort,AlmostSorted,3000,3453.1,33743
TernaryQuickSort,AlmostSorted,3000,8349.8,120736
StringMergeSort,AlmostSorted,3000,34954,11493
MSDRadixSort,AlmostSorted,3000,5184,0
MSDRadixSortWithCutoff,AlmostSorted,3000,2479.3,20119
StandardQuickSort,CommonPrefix,100,243.3,13356
StandardMergeSort,CommonPrefix,100,233.55,10748
TernaryQuickSort,CommonPrefix,100,79,2335
StringMergeSort,CommonPrefix,100,886.25,2193
MSDRadixSort,CommonPrefix,100,855.5,0
MSDRadixSortWithCutoff,CommonPrefix,100,684.15,56
StandardQuickSort,CommonPrefix,200,579.1,32457
StandardMergeSort,CommonPrefix,200,528.75,25238
TernaryQuickSort,CommonPrefix,200,170.05,4947
StringMergeSort,CommonPrefix,200,1867.65,4573
MSDRadixSort,CommonPrefix,200,1650.5,0
MSDRadixSortWithCutoff,CommonPrefix,200,1368.5,207
StandardQuickSort,CommonPrefix,300,921.2,52235
StandardMergeSort,CommonPrefix,300,899.4,42413
TernaryQuickSort,CommonPrefix,300,255.15,7370
StringMergeSort,CommonPrefix,300,3052.75,7009
MSDRadixSort,CommonPrefix,300,2437.35,0
MSDRadixSortWithCutoff,CommonPrefix,300,1983.3,411
StandardQuickSort,CommonPrefix,400,1310.15,75194
StandardMergeSort,CommonPrefix,400,1231.3,58728
TernaryQuickSort,CommonPrefix,400,365.1,10173
StringMergeSort,CommonPrefix,400,4147.95,9504
MSDRadixSort,CommonPrefix,400,3147.65,0
MSDRadixSortWithCutoff,CommonPrefix,400,2634.85,672
StandardQuickSort,CommonPrefix,500,1738.95,95396
StandardMergeSort,CommonPrefix,500,1642.85,80020
TernaryQuickSort,CommonPrefix,500,451.65,12741
StringMergeSort,CommonPrefix,500,5078.45,12024
MSDRadixSort,CommonPrefix,500,3867.4,0
MSDRadixSortWithCutoff,CommonPrefix,500,3265.15,983
StandardQuickSort,CommonPrefix,600,2091.2,120541
StandardMergeSort,CommonPrefix,600,1975,96593
TernaryQuickSort,CommonPrefix,600,596,15672
StringMergeSort,CommonPrefix,600,6646.6,14544
MSDRadixSort,CommonPrefix,600,4575.5,0
MSDRadixSortWithCutoff,CommonPrefix,600,3931.3,1310
StandardQuickSort,CommonPrefix,700,2473.2,142684
StandardMergeSort,CommonPrefix,700,2347.7,115105
TernaryQuickSort,CommonPrefix,700,690.4,18719
StringMergeSort,CommonPrefix,700,8016.9,17127
MSDRadixSort,CommonPrefix,700,5367.8,0
MSDRadixSortWithCutoff,CommonPrefix,700,4568.4,1684
StandardQuickSort,CommonPrefix,800,2791.6,160701
StandardMergeSort,CommonPrefix,800,2701.2,132928
TernaryQuickSort,CommonPrefix,800,815.3,21636
StringMergeSort,CommonPrefix,800,9249.2,19722
MSDRadixSort,CommonPrefix,800,5978.3,0
MSDRadixSortWithCutoff,CommonPrefix,800,5165.5,2089
StandardQuickSort,CommonPrefix,900,3370,196700
StandardMergeSort,CommonPrefix,900,3313.6,162273
TernaryQuickSort,CommonPrefix,900,915.1,24615
StringMergeSort,CommonPrefix,900,10192.6,22290
MSDRadixSort,CommonPrefix,900,6672.4,0
MSDRadixSortWithCutoff,CommonPrefix,900,5789.3,2476
StandardQuickSort,CommonPrefix,1000,3784.4,223940
StandardMergeSort,CommonPrefix,1000,3654.1,178551
TernaryQuickSort,CommonPrefix,1000,1001.2,26772
StringMergeSort,CommonPrefix,1000,11069.4,24894
MSDRadixSort,CommonPrefix,1000,7291.5,0
MSDRadixSortWithCutoff,CommonPrefix,1000,6580.3,2889
StandardQuickSort,CommonPrefix,1100,4088.6,236654
StandardMergeSort,CommonPrefix,1100,3986.7,195212
TernaryQuickSort,CommonPrefix,1100,1135.2,29984
StringMergeSort,CommonPrefix,1100,12965.6,27498
MSDRadixSort,CommonPrefix,1100,8256.4,0
MSDRadixSortWithCutoff,CommonPrefix,1100,7096.9,3406
StandardQuickSort,CommonPrefix,1200,4685.4,276235
StandardMergeSort,CommonPrefix,1200,4539.8,214529
TernaryQuickSort,CommonPrefix,1200,1324,33958
StringMergeSort,CommonPrefix,1200,14594.8,30149
MSDRadixSort,CommonPrefix,1200,8924.9,0
MSDRadixSortWithCutoff,CommonPrefix,1200,7735.1,3856
StandardQuickSort,CommonPrefix,1300,4963.3,289283
StandardMergeSort,CommonPrefix,1300,4778.7,233078
TernaryQuickSort,CommonPrefix,1300,1293.9,34921
StringMergeSort,CommonPrefix,1300,15400,32808
MSDRadixSort,CommonPrefix,1300,9617.2,0
MSDRadixSortWithCutoff,CommonPrefix,1300,8242.7,4334
StandardQuickSort,CommonPrefix,1400,5369.2,315317
StandardMergeSort,CommonPrefix,1400,5234.7,256019
TernaryQuickSort,CommonPrefix,1400,1472,38792
StringMergeSort,CommonPrefix,1400,16659.4,35509
MSDRadixSort,CommonPrefix,1400,10277.7,0
MSDRadixSortWithCutoff,CommonPrefix,1400,8896.1,4833
StandardQuickSort,CommonPrefix,1500,5801.4,342441
StandardMergeSort,CommonPrefix,1500,5572,274111
TernaryQuickSort,CommonPrefix,1500,1548.6,41264
StringMergeSort,CommonPrefix,1500,18575.7,38193
MSDRadixSort,CommonPrefix,1500,11231.2,0
MSDRadixSortWithCutoff,CommonPrefix,1500,9708.8,5297
StandardQuickSort,CommonPrefix,1600,6281.2,366362
StandardMergeSort,CommonPrefix,1600,5992.7,294778
TernaryQuickSort,CommonPrefix,1600,1652.5,44004
StringMergeSort,CommonPrefix,1600,20269.3,40794
MSDRadixSort,CommonPrefix,1600,12209.6,0
MSDRadixSortWithCutoff,CommonPrefix,1600,10322.6,5804
StandardQuickSort,CommonPrefix,1700,6843.6,403502
StandardMergeSort,CommonPrefix,1700,6399.4,314937
TernaryQuickSort,CommonPrefix,1700,1842.1,47842
StringMergeSort,CommonPrefix,1700,20309.3,43540
MSDRadixSort,CommonPrefix,1700,12943.2,0
MSDRadixSortWithCutoff,CommonPrefix,1700,10986.3,6341
StandardQuickSort,CommonPrefix,1800,7158.9,418720
StandardMergeSort,CommonPrefix,1800,7158.7,357320
TernaryQuickSort,CommonPrefix,1800,1878.2,50150
StringMergeSort,CommonPrefix,1800,21107.9,46173
MSDRadixSort,CommonPrefix,1800,13489.6,0
MSDRadixSortWithCutoff,CommonPrefix,1800,11588.3,6947
StandardQuickSort,CommonPrefix,1900,7627.3,447951
StandardMergeSort,CommonPrefix,1900,7493,377616
TernaryQuickSort,CommonPrefix,1900,1986.8,52605
StringMergeSort,CommonPrefix,1900,22388.8,48914
MSDRadixSort,CommonPrefix,1900,14702.9,0
MSDRadixSortWithCutoff,CommonPrefix,1900,12361.6,7514
StandardQuickSort,CommonPrefix,2000,8695,523818
StandardMergeSort,CommonPrefix,2000,7831.8,395276
TernaryQuickSort,CommonPrefix,2000,2120.6,55621
StringMergeSort,CommonPrefix,2000,23755.5,51592
MSDRadixSort,CommonPrefix,2000,15267.5,0
MSDRadixSortWithCutoff,CommonPrefix,2000,13689.6,8048
StandardQuickSort,CommonPrefix,2100,8747.1,521287
StandardMergeSort,CommonPrefix,2100,8346.1,415320
TernaryQuickSort,CommonPrefix,2100,2272.2,58733
StringMergeSort,CommonPrefix,2100,26801.9,54288
MSDRadixSort,CommonPrefix,2100,16221.5,0
MSDRadixSortWithCutoff,CommonPrefix,2100,14693,8618
StandardQuickSort,CommonPrefix,2200,9109.2,542263
StandardMergeSort,CommonPrefix,2200,8678.4,433752
TernaryQuickSort,CommonPrefix,2200,2368.5,61780
StringMergeSort,CommonPrefix,2200,28025.3,56996
MSDRadixSort,CommonPrefix,2200,18224.1,0
MSDRadixSortWithCutoff,CommonPrefix,2200,16067.2,9166
StandardQuickSort,CommonPrefix,2300,9348.5,555637
StandardMergeSort,CommonPrefix,2300,9133.1,457670
TernaryQuickSort,CommonPrefix,2300,2481.9,64690
StringMergeSort,CommonPrefix,2300,29318.9,59730
MSDRadixSort,CommonPrefix,2300,18436.4,0
MSDRadixSortWithCutoff,CommonPrefix,2300,16196.2,9766
StandardQuickSort,CommonPrefix,2400,9966.8,589057
StandardMergeSort,CommonPrefix,2400,9611.8,475538
TernaryQuickSort,CommonPrefix,2400,2780.7,70036
StringMergeSort,CommonPrefix,2400,30321.6,62463
MSDRadixSort,CommonPrefix,2400,19337.6,0
MSDRadixSortWithCutoff,CommonPrefix,2400,16647.1,10315
StandardQuickSort,CommonPrefix,2500,10500,626149
StandardMergeSort,CommonPrefix,2500,9833.8,496654
TernaryQuickSort,CommonPrefix,2500,2722.6,71014
StringMergeSort,CommonPrefix,2500,32208.4,65161
MSDRadixSort,CommonPrefix,2500,20335,0
MSDRadixSortWithCutoff,CommonPrefix,2500,19261.2,10800
StandardQuickSort,CommonPrefix,2600,11277.3,664048
StandardMergeSort,CommonPrefix,2600,10421.8,515232
TernaryQuickSort,CommonPrefix,2600,2796.7,72967
StringMergeSort,CommonPrefix,2600,32734,67902
MSDRadixSort,CommonPrefix,2600,20851.1,0
MSDRadixSortWithCutoff,CommonPrefix,2600,18825,11529
StandardQuickSort,CommonPrefix,2700,11239.5,670254
StandardMergeSort,CommonPrefix,2700,10800.9,546009
TernaryQuickSort,CommonPrefix,2700,3016.6,77014
StringMergeSort,CommonPrefix,2700,33652.6,70671
MSDRadixSort,CommonPrefix,2700,21761.8,0
MSDRadixSortWithCutoff,CommonPrefix,2700,18786.3,12110
StandardQuickSort,CommonPrefix,2800,12032.7,723430
StandardMergeSort,CommonPrefix,2800,11126.7,566672
TernaryQuickSort,CommonPrefix,2800,3072.8,78695
StringMergeSort,CommonPrefix,2800,36165.5,73395
MSDRadixSort,CommonPrefix,2800,24131.3,0
MSDRadixSortWithCutoff,CommonPrefix,2800,20212.7,12758
StandardQuickSort,CommonPrefix,2900,12210.1,720863
StandardMergeSort,CommonPrefix,2900,11744.4,584301
TernaryQuickSort,CommonPrefix,2900,3233.1,83003
StringMergeSort,CommonPrefix,2900,37083.2,76125
MSDRadixSort,CommonPrefix,2900,23610.6,0
MSDRadixSortWithCutoff,CommonPrefix,2900,20553.4,13359
StandardQuickSort,CommonPrefix,3000,12510.6,742131
StandardMergeSort,CommonPrefix,3000,12040.6,605693
TernaryQuickSort,CommonPrefix,3000,3485.1,87119
StringMergeSort,CommonPrefix,3000,39165.1,78876
MSDRadixSort,CommonPrefix,3000,24625,0
MSDRadixSortWithCutoff,CommonPrefix,3000,21356.6,14047
StandardQuickSort,VeryLongCommonPrefix,100,457.95,30793
StandardMergeSort,VeryLongCommonPrefix,100,391.75,23866
TernaryQuickSort,VeryLongCommonPrefix,100,121.95,4594
StringMergeSort,VeryLongCommonPrefix,100,838.75,4361
MSDRadixSort,VeryLongCommonPrefix,100,1733.3,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,100,1568.3,59
StandardQuickSort,VeryLongCommonPrefix,200,1097.65,71662
StandardMergeSort,VeryLongCommonPrefix,200,929.85,56096
TernaryQuickSort,VeryLongCommonPrefix,200,252.35,9350
StringMergeSort,VeryLongCommonPrefix,200,1913.85,8930
MSDRadixSort,VeryLongCommonPrefix,200,3303.45,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,200,4088.2,214
StandardQuickSort,VeryLongCommonPrefix,300,1790.8,118245
StandardMergeSort,VeryLongCommonPrefix,300,1553.85,92824
TernaryQuickSort,VeryLongCommonPrefix,300,385.1,14027
StringMergeSort,VeryLongCommonPrefix,300,3095.35,13551
MSDRadixSort,VeryLongCommonPrefix,300,4784.55,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,300,4331,434
StandardQuickSort,VeryLongCommonPrefix,400,2462.4,162804
StandardMergeSort,VeryLongCommonPrefix,400,2149.05,129018
TernaryQuickSort,VeryLongCommonPrefix,400,544,19196
StringMergeSort,VeryLongCommonPrefix,400,4222.2,18262
MSDRadixSort,VeryLongCommonPrefix,400,6226.25,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,400,5849.05,721
StandardQuickSort,VeryLongCommonPrefix,500,3178.05,211069
StandardMergeSort,VeryLongCommonPrefix,500,2912.6,177023
TernaryQuickSort,VeryLongCommonPrefix,500,656.4,23967
StringMergeSort,VeryLongCommonPrefix,500,5270.05,22958
MSDRadixSort,VeryLongCommonPrefix,500,7602.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,500,7086.95,1042
StandardQuickSort,VeryLongCommonPrefix,600,4063.3,270331
StandardMergeSort,VeryLongCommonPrefix,600,3560,211015
TernaryQuickSort,VeryLongCommonPrefix,600,805.2,28652
StringMergeSort,VeryLongCommonPrefix,600,6809.6,27699
MSDRadixSort,VeryLongCommonPrefix,600,8968.8,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,600,8548.8,1373
StandardQuickSort,VeryLongCommonPrefix,700,4746,315496
StandardMergeSort,VeryLongCommonPrefix,700,4158.3,252894
TernaryQuickSort,VeryLongCommonPrefix,700,962.8,33777
StringMergeSort,VeryLongCommonPrefix,700,8056.5,32452
MSDRadixSort,VeryLongCommonPrefix,700,10457,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,700,9788.8,1749
StandardQuickSort,VeryLongCommonPrefix,800,5881.1,396396
StandardMergeSort,VeryLongCommonPrefix,800,4693.4,289891
TernaryQuickSort,VeryLongCommonPrefix,800,1064.8,38695
StringMergeSort,VeryLongCommonPrefix,800,9183.4,37269
MSDRadixSort,VeryLongCommonPrefix,800,12203.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,800,11544.2,2148
StandardQuickSort,VeryLongCommonPrefix,900,6208.8,420872
StandardMergeSort,VeryLongCommonPrefix,900,5741.3,352867
TernaryQuickSort,VeryLongCommonPrefix,900,1230.9,43937
StringMergeSort,VeryLongCommonPrefix,900,10148.9,42038
MSDRadixSort,VeryLongCommonPrefix,900,13794.4,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,900,13211.3,2569
StandardQuickSort,VeryLongCommonPrefix,1000,7048.2,480027
StandardMergeSort,VeryLongCommonPrefix,1000,6370,392479
TernaryQuickSort,VeryLongCommonPrefix,1000,1502.5,50454
StringMergeSort,VeryLongCommonPrefix,1000,11371.9,46861
MSDRadixSort,VeryLongCommonPrefix,1000,15584.4,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1000,15217.6,3050
StandardQuickSort,VeryLongCommonPrefix,1100,8217.3,559434
StandardMergeSort,VeryLongCommonPrefix,1100,6985.7,432043
TernaryQuickSort,VeryLongCommonPrefix,1100,1592.7,54261
StringMergeSort,VeryLongCommonPrefix,1100,13412.2,51698
MSDRadixSort,VeryLongCommonPrefix,1100,17393.2,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1100,16889.8,3478
StandardQuickSort,VeryLongCommonPrefix,1200,8515.3,583663
StandardMergeSort,VeryLongCommonPrefix,1200,7653.3,473503
TernaryQuickSort,VeryLongCommonPrefix,1200,1772.6,60462
StringMergeSort,VeryLongCommonPrefix,1200,14695.7,56508
MSDRadixSort,VeryLongCommonPrefix,1200,19370.3,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1200,18270.1,3963
StandardQuickSort,VeryLongCommonPrefix,1300,9331.4,632595
StandardMergeSort,VeryLongCommonPrefix,1300,8331.1,513300
TernaryQuickSort,VeryLongCommonPrefix,1300,1829,63972
StringMergeSort,VeryLongCommonPrefix,1300,15944.7,61330
MSDRadixSort,VeryLongCommonPrefix,1300,22598.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1300,20221.2,4442
StandardQuickSort,VeryLongCommonPrefix,1400,10301.5,688546
StandardMergeSort,VeryLongCommonPrefix,1400,9122.5,561442
TernaryQuickSort,VeryLongCommonPrefix,1400,1981.3,69176
StringMergeSort,VeryLongCommonPrefix,1400,17210.1,66211
MSDRadixSort,VeryLongCommonPrefix,1400,23224.8,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1400,21864,4894
StandardQuickSort,VeryLongCommonPrefix,1500,11780.8,810745
StandardMergeSort,VeryLongCommonPrefix,1500,9648.5,597042
TernaryQuickSort,VeryLongCommonPrefix,1500,2219.9,75225
StringMergeSort,VeryLongCommonPrefix,1500,18001.6,71029
MSDRadixSort,VeryLongCommonPrefix,1500,24868.1,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1500,23480.3,5396
StandardQuickSort,VeryLongCommonPrefix,1600,12285.4,838226
StandardMergeSort,VeryLongCommonPrefix,1600,10341.7,643720
TernaryQuickSort,VeryLongCommonPrefix,1600,2369.8,79507
StringMergeSort,VeryLongCommonPrefix,1600,19240.3,75993
MSDRadixSort,VeryLongCommonPrefix,1600,27702.1,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1600,25159,5955
StandardQuickSort,VeryLongCommonPrefix,1700,13024.9,886603
StandardMergeSort,VeryLongCommonPrefix,1700,11205.3,688857
TernaryQuickSort,VeryLongCommonPrefix,1700,2398.1,83943
StringMergeSort,VeryLongCommonPrefix,1700,20698.5,80860
MSDRadixSort,VeryLongCommonPrefix,1700,28867.3,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1700,26792.9,6516
StandardQuickSort,VeryLongCommonPrefix,1800,13720.3,935824
StandardMergeSort,VeryLongCommonPrefix,1800,12677.3,789414
TernaryQuickSort,VeryLongCommonPrefix,1800,2694.8,91084
StringMergeSort,VeryLongCommonPrefix,1800,21393.4,85664
MSDRadixSort,VeryLongCommonPrefix,1800,30440.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1800,28958.6,7067
StandardQuickSort,VeryLongCommonPrefix,1900,14767.9,1007420
StandardMergeSort,VeryLongCommonPrefix,1900,13407.5,833539
TernaryQuickSort,VeryLongCommonPrefix,1900,2941.4,96903
StringMergeSort,VeryLongCommonPrefix,1900,22917.4,90603
MSDRadixSort,VeryLongCommonPrefix,1900,32366.6,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,1900,30707.5,7542
StandardQuickSort,VeryLongCommonPrefix,2000,15383.3,1054495
StandardMergeSort,VeryLongCommonPrefix,2000,13870.9,869364
TernaryQuickSort,VeryLongCommonPrefix,2000,2859.5,100159
StringMergeSort,VeryLongCommonPrefix,2000,23677.4,95489
MSDRadixSort,VeryLongCommonPrefix,2000,34053.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2000,33523.7,8058
StandardQuickSort,VeryLongCommonPrefix,2100,16300.9,1094544
StandardMergeSort,VeryLongCommonPrefix,2100,14761.5,908133
TernaryQuickSort,VeryLongCommonPrefix,2100,3109.9,104884
StringMergeSort,VeryLongCommonPrefix,2100,26928.4,100403
MSDRadixSort,VeryLongCommonPrefix,2100,36395.8,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2100,33824,8676
StandardQuickSort,VeryLongCommonPrefix,2200,18441.6,1208763
StandardMergeSort,VeryLongCommonPrefix,2200,15387.5,945596
TernaryQuickSort,VeryLongCommonPrefix,2200,3302.9,111694
StringMergeSort,VeryLongCommonPrefix,2200,27793.5,105365
MSDRadixSort,VeryLongCommonPrefix,2200,38791.2,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2200,35923.1,9412
StandardQuickSort,VeryLongCommonPrefix,2300,18672.9,1275085
StandardMergeSort,VeryLongCommonPrefix,2300,16246.5,1000423
TernaryQuickSort,VeryLongCommonPrefix,2300,3446.6,116845
StringMergeSort,VeryLongCommonPrefix,2300,29678.6,110210
MSDRadixSort,VeryLongCommonPrefix,2300,41468.7,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2300,38177.9,10097
StandardQuickSort,VeryLongCommonPrefix,2400,19070.8,1298822
StandardMergeSort,VeryLongCommonPrefix,2400,17024.9,1041536
TernaryQuickSort,VeryLongCommonPrefix,2400,3686.1,121634
StringMergeSort,VeryLongCommonPrefix,2400,31160.7,115211
MSDRadixSort,VeryLongCommonPrefix,2400,42018.4,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2400,40694.7,10610
StandardQuickSort,VeryLongCommonPrefix,2500,20111.3,1358196
StandardMergeSort,VeryLongCommonPrefix,2500,17741,1090436
TernaryQuickSort,VeryLongCommonPrefix,2500,3757.3,125625
StringMergeSort,VeryLongCommonPrefix,2500,32585.8,120171
MSDRadixSort,VeryLongCommonPrefix,2500,43654.9,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2500,40968.2,11128
StandardQuickSort,VeryLongCommonPrefix,2600,20123.8,1371024
StandardMergeSort,VeryLongCommonPrefix,2600,18206.6,1131023
TernaryQuickSort,VeryLongCommonPrefix,2600,3918.9,132092
StringMergeSort,VeryLongCommonPrefix,2600,33344.5,125067
MSDRadixSort,VeryLongCommonPrefix,2600,46352.3,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2600,43831.4,11682
StandardQuickSort,VeryLongCommonPrefix,2700,21431.4,1460453
StandardMergeSort,VeryLongCommonPrefix,2700,19246,1205422
TernaryQuickSort,VeryLongCommonPrefix,2700,5649.9,135737
StringMergeSort,VeryLongCommonPrefix,2700,34704,129956
MSDRadixSort,VeryLongCommonPrefix,2700,47777.8,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2700,44677.8,12207
StandardQuickSort,VeryLongCommonPrefix,2800,21990.9,1507171
StandardMergeSort,VeryLongCommonPrefix,2800,19934.8,1238717
TernaryQuickSort,VeryLongCommonPrefix,2800,4314.1,143928
StringMergeSort,VeryLongCommonPrefix,2800,36018.1,134946
MSDRadixSort,VeryLongCommonPrefix,2800,49380,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2800,46403.4,12891
StandardQuickSort,VeryLongCommonPrefix,2900,23376.6,1601451
StandardMergeSort,VeryLongCommonPrefix,2900,20685.8,1277916
TernaryQuickSort,VeryLongCommonPrefix,2900,4530.7,148658
StringMergeSort,VeryLongCommonPrefix,2900,37277.8,139896
MSDRadixSort,VeryLongCommonPrefix,2900,51251.2,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,2900,48347.7,13560
StandardQuickSort,VeryLongCommonPrefix,3000,24065.9,1650013
StandardMergeSort,VeryLongCommonPrefix,3000,21379.2,1327389
TernaryQuickSort,VeryLongCommonPrefix,3000,4483.6,151426
StringMergeSort,VeryLongCommonPrefix,3000,39161.8,144769
MSDRadixSort,VeryLongCommonPrefix,3000,53529,0
MSDRadixSortWithCutoff,VeryLongCommonPrefix,3000,50463.6,14026
