Algorithm,DataType,Size,TimeMicroseconds,Comparisons
StandardMergeSort,Random,2100,3181.7,31152
TernaryQuickSort,Random,2100,1661.3,23134
StringMergeSort,Random,2100,25421.8,18499
MSDRadixSort,Random,2100,3722.5,0
MSDRadixSortWithCutoff,Random,2100,1539.4,8612
StandardQuickSort,Random,2200,2459.9,42664
StandardMergeSort,Random,2200,3339.6,32648
TernaryQuickSort,Random,2200,1745.7,24685
StringMergeSort,Random,2200,26952.1,19511
MSDRadixSort,Random,2200,3942.6,0
MSDRadixSortWithCutoff,Random,2200,1619.6,9133
StandardQuickSort,Random,2300,2547.9,44365
StandardMergeSort,Random,2300,3488.7,34522
TernaryQuickSort,Random,2300,1936.5,27329
StringMergeSort,Random,2300,28225.6,20501
MSDRadixSort,Random,2300,4196.7,0
MSDRadixSortWithCutoff,Random,2300,1708.4,9808
StandardQuickSort,Random,2400,2754.1,48210
StandardMergeSort,Random,2400,3621.2,36027
TernaryQuickSort,Random,2400,1876.7,26355
StringMergeSort,Random,2400,29341.7,21637
MSDRadixSort,Random,2400,4434.1,0
MSDRadixSortWithCutoff,Random,2400,1783.8,10498
StandardQuickSort,Random,2500,2813.5,48930
StandardMergeSort,Random,2500,3868.5,37647
TernaryQuickSort,Random,2500,2255.9,28972
StringMergeSort,Random,2500,30713.2,22662
MSDRadixSort,Random,2500,4634.5,0
MSDRadixSortWithCutoff,Random,2500,1878.6,11048
StandardQuickSort,Random,2600,2965.7,52644
StandardMergeSort,Random,2600,3963.5,39218
TernaryQuickSort,Random,2600,2204.4,30767
StringMergeSort,Random,2600,31814.7,23748
MSDRadixSort,Random,2600,4897.7,0
MSDRadixSortWithCutoff,Random,2600,1992.9,11731
StandardQuickSort,Random,2700,3020.6,52884
StandardMergeSort,Random,2700,4091.1,41572
TernaryQuickSort,Random,2700,2188.2,30457
StringMergeSort,Random,2700,33105,24747
MSDRadixSort,Random,2700,5147.3,0
MSDRadixSortWithCutoff,Random,2700,2073.2,12358
StandardQuickSort,Random,2800,3162.3,55355
